image_id,breed,split,width,height,area,normalized_aspect_ratio,center_x,center_y,xmin,ymin,xmax,ymax,size_category,diagonal,image_width,image_height
black_footed_albatross_0046_18,black_footed_albatross,test,325,304,98800,0.9353846153846154,0.445,0.5343283582089552,60,27,385,331,large,445.01797716496804,500,335
black_footed_albatross_0009_34,black_footed_albatross,train,153,264,40392,0.5795454545454546,0.431,0.48214285714285715,139,30,292,294,large,305.1311193569086,500,336
black_footed_albatross_0002_55,black_footed_albatross,test,388,186,72168,0.4793814432989691,0.416,0.590778097982709,14,112,402,298,large,430.27897926810226,500,347
black_footed_albatross_0074_59,black_footed_albatross,train,255,242,61710,0.9490196078431372,0.5771084337349398,0.422,112,90,367,332,large,351.55227207344285,415,500
black_footed_albatross_0014_89,black_footed_albatross,train,134,303,40602,0.44224422442244227,0.41389728096676737,0.5302631578947369,70,50,204,353,large,331.30801378777426,331,380
black_footed_albatross_0085_92,black_footed_albatross,test,251,395,99145,0.6354430379746835,0.317,0.5329787234042553,33,53,284,448,large,468.0021367472589,500,470
black_footed_albatross_0031_100,black_footed_albatross,train,420,262,110040,0.6238095238095238,0.434,0.6058823529411764,7,75,427,337,large,495.0191915471561,500,340
black_footed_albatross_0051_796103,black_footed_albatross,train,333,158,52614,0.4744744744744745,0.489,0.4219948849104859,78,86,411,244,large,368.5824195481928,500,391
black_footed_albatross_0010_796097,black_footed_albatross,train,221,189,41769,0.8552036199095022,0.445,0.4098557692307692,112,76,333,265,large,290.7954607623716,500,416
black_footed_albatross_0025_796057,black_footed_albatross,test,199,201,39999,0.9900497512437811,0.506,0.5024038461538461,27,4,226,205,large,282.8462479864281,250,208
black_footed_albatross_0023_796059,black_footed_albatross,train,342,260,88920,0.7602339181286549,0.49142857142857144,0.52,1,52,343,312,large,429.6091246703217,350,350
black_footed_albatross_0086_796062,black_footed_albatross,test,179,249,44571,0.7188755020080321,0.325,0.5196428571428572,47,21,226,270,large,306.6626811335217,420,280
black_footed_albatross_0049_796063,black_footed_albatross,test,197,457,90029,0.4310722100656455,0.4381107491856677,0.521,36,32,233,489,large,497.6524891930111,307,500
black_footed_albatross_0006_796065,black_footed_albatross,test,262,184,48208,0.7022900763358778,0.48,0.37714285714285717,37,40,299,224,large,320.1562118716424,350,350
black_footed_albatross_0040_796066,black_footed_albatross,train,395,237,93615,0.6,0.441,0.5237467018469657,23,80,418,317,large,460.64519969277876,500,379
black_footed_albatross_0016_796067,black_footed_albatross,test,256,211,54016,0.82421875,0.538,0.5392156862745098,141,87,397,298,large,331.748398639692,500,357
black_footed_albatross_0065_796068,black_footed_albatross,test,254,209,53086,0.8228346456692913,0.47714285714285715,0.40714285714285714,40,38,294,247,large,328.9331239021087,350,350
black_footed_albatross_0089_796069,black_footed_albatross,train,254,249,63246,0.9803149606299213,0.344,0.5464071856287425,45,58,299,307,large,355.69228273888655,500,334
black_footed_albatross_0042_796071,black_footed_albatross,test,304,181,55024,0.5953947368421053,0.574,0.48735955056179775,135,83,439,264,large,353.8036178447021,500,356
black_footed_albatross_0067_170,black_footed_albatross,train,255,122,31110,0.47843137254901963,0.4519519519519519,0.512,23,195,278,317,medium,282.68179990936807,333,500
black_footed_albatross_0060_796076,black_footed_albatross,train,281,139,39059,0.49466192170818507,0.4734375,0.6104166666666667,11,77,292,216,large,313.4996012756635,320,240
black_footed_albatross_0090_796077,black_footed_albatross,test,210,130,27300,0.6190476190476191,0.5092592592592593,0.5073529411764706,5,4,215,134,large,246.9817807045694,216,136
black_footed_albatross_0056_796078,black_footed_albatross,train,188,165,31020,0.8776595744680851,0.496,0.45,154,93,342,258,medium,250.13796193301008,500,390
black_footed_albatross_0061_796082,black_footed_albatross,test,156,139,21684,0.8910256410256411,0.5333333333333333,0.5053475935828877,50,25,206,164,large,208.94257584322062,240,187
black_footed_albatross_0008_796083,black_footed_albatross,test,265,214,56710,0.8075471698113208,0.609,0.5966386554621849,172,106,437,320,large,340.618554984898,500,357
black_footed_albatross_0033_796086,black_footed_albatross,test,409,180,73620,0.4400977995110024,0.483,0.4026666666666667,37,61,446,241,large,446.8568003286959,500,375
black_footed_albatross_0024_796089,black_footed_albatross,test,309,345,106605,0.8956521739130435,0.439,0.5664251207729468,65,62,374,407,large,463.14792453383615,500,414
black_footed_albatross_0005_796090,black_footed_albatross,test,499,286,142714,0.5731462925851704,0.501,0.43283582089552236,1,2,500,288,large,575.1495457704891,500,335
black_footed_albatross_0026_796095,black_footed_albatross,test,235,254,59690,0.9251968503937008,0.429,0.39156626506024095,97,3,332,257,large,346.0361252817399,500,332
black_footed_albatross_0080_796096,black_footed_albatross,train,224,211,47264,0.9419642857142857,0.5372340425531915,0.41770186335403725,90,29,314,240,large,307.7287766849243,376,322
black_footed_albatross_0047_796064,black_footed_albatross,train,314,301,94514,0.9585987261146497,0.39,0.4597222222222222,38,15,352,316,large,434.9678149012867,500,360
black_footed_albatross_0017_796098,black_footed_albatross,train,416,203,84448,0.4879807692307692,0.456,0.49107142857142855,20,91,436,294,large,462.8876753598004,500,392
black_footed_albatross_0064_796101,black_footed_albatross,test,260,260,67600,1.0,0.53,0.5465465465465466,82,52,342,312,large,367.6955262170047,400,333
black_footed_albatross_0076_417,black_footed_albatross,test,360,214,77040,0.5944444444444444,0.492,0.5034013605442177,66,115,426,329,large,418.80305634032806,500,441
black_footed_albatross_0019_796104,black_footed_albatross,train,464,294,136416,0.6336206896551724,0.502,0.4881656804733728,19,18,483,312,large,549.301374474887,500,338
black_footed_albatross_0057_796106,black_footed_albatross,train,286,225,64350,0.7867132867132867,0.43,0.45252225519287836,72,40,358,265,large,363.8969634388284,500,337
black_footed_albatross_0041_796108,black_footed_albatross,train,221,154,34034,0.6968325791855203,0.653,0.392,216,119,437,273,medium,269.3640659033792,500,500
black_footed_albatross_0053_796109,black_footed_albatross,test,368,445,163760,0.8269662921348314,0.49230769230769234,0.5033333333333333,40,4,408,449,large,577.4504307730664,455,450
black_footed_albatross_0001_796111,black_footed_albatross,test,199,141,28059,0.7085427135678392,0.5265625,0.5717488789237668,69,57,268,198,large,243.88931915932687,320,223
black_footed_albatross_0071_796113,black_footed_albatross,train,202,393,79386,0.5139949109414759,0.5938303341902313,0.451,130,29,332,422,large,441.87441654841257,389,500
black_footed_albatross_0077_796114,black_footed_albatross,train,302,317,95734,0.9526813880126183,0.4533333333333333,0.409,53,46,355,363,large,437.8275916385353,450,500
black_footed_albatross_0032_796115,black_footed_albatross,train,368,299,110032,0.8125,0.418,0.4347258485639687,25,17,393,316,large,474.157146946031,500,383
black_footed_albatross_0038_212,black_footed_albatross,train,287,156,44772,0.5435540069686411,0.561,0.42771084337349397,137,64,424,220,large,326.6573127912492,500,332
black_footed_albatross_0037_796120,black_footed_albatross,test,133,219,29127,0.6073059360730594,0.39620535714285715,0.5569852941176471,111,42,244,261,large,256.2225595063791,448,272
black_footed_albatross_0082_796121,black_footed_albatross,test,388,211,81868,0.5438144329896907,0.504,0.41733333333333333,58,51,446,262,large,441.6616351914665,500,375
black_footed_albatross_0079_796122,black_footed_albatross,train,212,283,59996,0.7491166077738516,0.4576923076923077,0.47214484679665736,13,28,225,311,large,353.60005656108143,260,359
black_footed_albatross_0050_796125,black_footed_albatross,test,496,131,64976,0.26411290322580644,0.506,0.7,5,127,501,258,large,513.0077972116993,500,275
black_footed_albatross_0078_796126,black_footed_albatross,test,127,130,16510,0.9769230769230769,0.5101156069364162,0.65,113,260,240,390,small,181.738823590338,346,500
black_footed_albatross_0036_796127,black_footed_albatross,train,253,211,53383,0.83399209486166,0.351,0.4653333333333333,49,69,302,280,large,329.4389169481954,500,375
black_footed_albatross_0045_796129,black_footed_albatross,test,433,130,56290,0.3002309468822171,0.481,0.6295180722891566,24,144,457,274,large,452.0940167708482,500,332
black_footed_albatross_0039_796132,black_footed_albatross,train,310,200,62000,0.6451612903225806,0.612,0.504,151,152,461,352,large,368.9173349139343,500,500
black_footed_albatross_0088_796133,black_footed_albatross,test,103,324,33372,0.31790123456790126,0.6223880597014926,0.5175,157,45,260,369,large,339.9779404608481,335,400
black_footed_albatross_0068_796135,black_footed_albatross,train,432,355,153360,0.8217592592592593,0.552,0.5363636363636364,60,29,492,384,large,559.15024814445,500,385
black_footed_albatross_0003_796136,black_footed_albatross,test,212,304,64448,0.6973684210526315,0.474,0.5013333333333333,131,36,343,340,large,370.62110031675206,500,375
black_footed_albatross_0007_796138,black_footed_albatross,train,120,141,16920,0.851063829787234,0.424,0.5199335548172758,152,86,272,227,medium,185.15128949051368,500,301
black_footed_albatross_0069_796139,black_footed_albatross,train,189,120,22680,0.6349206349206349,0.4825,0.525,2,45,191,165,large,223.87719848166762,200,200
black_footed_albatross_0035_796140,black_footed_albatross,test,204,179,36516,0.8774509803921569,0.632,0.53003003003003,214,87,418,266,large,271.39823138701547,500,333
black_footed_albatross_0063_796141,black_footed_albatross,train,197,117,23049,0.5939086294416244,0.5017361111111112,0.4296875,46,24,243,141,large,229.12442034842118,288,192
black_footed_albatross_0058_796074,black_footed_albatross,test,224,262,58688,0.8549618320610687,0.368,0.47904191616766467,72,29,296,291,large,344.70277051396033,500,334
black_footed_albatross_0081_426,black_footed_albatross,train,260,170,44200,0.6538461538461539,0.452,0.50625,96,77,356,247,large,310.64449134018133,500,320
laysan_albatross_0002_1027,laysan_albatross,test,333,165,54945,0.4954954954954955,0.621,0.32666666666666666,144,40,477,205,large,371.6369195868462,500,375
laysan_albatross_0003_1033,laysan_albatross,train,164,340,55760,0.4823529411764706,0.568,0.528,202,28,366,368,large,377.48642359692883,500,375
laysan_albatross_0082_524,laysan_albatross,test,383,225,86175,0.587467362924282,0.527,0.48133333333333334,72,68,455,293,large,444.2004052226877,500,375
laysan_albatross_0044_784,laysan_albatross,train,438,106,46428,0.2420091324200913,0.558,0.6678966789667896,60,128,498,234,large,450.64398365006497,500,271
laysan_albatross_0070_788,laysan_albatross,test,259,361,93499,0.7174515235457064,0.4864457831325301,0.431,32,35,291,396,large,444.2994485704433,332,500
laysan_albatross_0050_870,laysan_albatross,train,387,202,78174,0.5219638242894057,0.469,0.5405405405405406,41,79,428,281,large,436.54667562587167,500,333
laysan_albatross_0071_792,laysan_albatross,train,126,259,32634,0.4864864864864865,0.438,0.493993993993994,156,35,282,294,medium,288.0225685601738,500,333
laysan_albatross_0053_543,laysan_albatross,test,230,149,34270,0.6478260869565218,0.446,0.5930930930930931,108,123,338,272,large,274.0456166407337,500,333
laysan_albatross_0081_800,laysan_albatross,train,308,260,80080,0.8441558441558441,0.472,0.5510752688172043,82,75,390,335,large,403.0682324371396,500,372
laysan_albatross_0001_545,laysan_albatross,test,108,146,15768,0.7397260273972602,0.4218289085545723,0.49,89,172,197,318,small,181.60396471443016,339,500
laysan_albatross_0023_1059,laysan_albatross,test,211,250,52750,0.844,0.377,0.664,83,124,294,374,large,327.14064253773176,500,375
laysan_albatross_0065_809,laysan_albatross,train,375,277,103875,0.7386666666666667,0.525,0.5826666666666667,75,80,450,357,large,466.21239794754496,500,375
laysan_albatross_0061_563,laysan_albatross,train,384,260,99840,0.6770833333333334,0.466,0.48348348348348347,41,31,425,291,large,463.7413071961565,500,333
laysan_albatross_0085_564,laysan_albatross,train,268,306,82008,0.8758169934640523,0.358,0.5013623978201635,45,31,313,337,large,406.7677470006687,500,367
laysan_albatross_0005_565,laysan_albatross,train,316,193,60988,0.6107594936708861,0.392,0.5630630630630631,38,91,354,284,large,370.2769233965303,500,333
laysan_albatross_0060_777,laysan_albatross,test,202,211,42622,0.957345971563981,0.476,0.5652866242038217,137,72,339,283,large,292.1044333795706,500,314
laysan_albatross_0055_570,laysan_albatross,train,409,274,112066,0.6699266503667481,0.439,0.4879518072289157,15,25,424,299,large,492.29767417691505,500,332
laysan_albatross_0025_571,laysan_albatross,train,202,195,39390,0.9653465346534653,0.588,0.5106761565836299,193,46,395,241,large,280.7650263120391,500,281
laysan_albatross_0080_821,laysan_albatross,test,316,284,89744,0.8987341772151899,0.514,0.5990675990675991,99,115,415,399,large,424.867038024839,500,429
laysan_albatross_0092_834,laysan_albatross,train,312,236,73632,0.7564102564102564,0.454,0.5045045045045045,71,50,383,286,large,391.2032719699568,500,333
laysan_albatross_0013_910,laysan_albatross,train,358,248,88784,0.6927374301675978,0.492,0.44744744744744747,67,25,425,273,large,435.5088977277043,500,333
laysan_albatross_0091_602,laysan_albatross,test,276,295,81420,0.9355932203389831,0.494,0.41688311688311686,109,13,385,308,large,403.98143521701587,500,385
laysan_albatross_0102_611,laysan_albatross,test,418,216,90288,0.5167464114832536,0.488,0.444,35,114,453,330,large,470.5103612036615,500,500
laysan_albatross_0099_869,laysan_albatross,train,378,304,114912,0.8042328042328042,0.46,0.482,41,89,419,393,large,485.07731342539614,500,500
laysan_albatross_0017_614,laysan_albatross,test,350,424,148400,0.8254716981132075,0.488,0.574,8,75,358,499,large,549.7963259244282,375,500
laysan_albatross_0047_619,laysan_albatross,train,195,365,71175,0.5342465753424658,0.509,0.4571129707112971,157,36,352,401,large,413.82363393117123,500,478
laysan_albatross_0035_876,laysan_albatross,test,437,321,140277,0.7345537757437071,0.497,0.4827089337175792,30,7,467,328,large,542.226889779546,500,347
laysan_albatross_0098_621,laysan_albatross,test,332,256,84992,0.7710843373493976,0.448,0.584,58,91,390,347,large,419.23740291152455,500,375
laysan_albatross_0088_883,laysan_albatross,train,285,307,87495,0.9283387622149837,0.453,0.5344311377245509,84,25,369,332,large,418.8961685191212,500,334
laysan_albatross_0034_628,laysan_albatross,test,244,254,61976,0.9606299212598425,0.63,0.5405405405405406,193,53,437,307,large,352.2101645324848,500,333
laysan_albatross_0104_630,laysan_albatross,test,118,123,14514,0.959349593495935,0.356,0.3382352941176471,119,42,237,165,small,170.4494059831245,500,306
laysan_albatross_0058_637,laysan_albatross,test,459,239,109701,0.5206971677559913,0.495,0.539039039039039,18,60,477,299,large,517.4958937035153,500,333
laysan_albatross_0028_643,laysan_albatross,test,201,138,27738,0.6865671641791045,0.471,0.504,135,120,336,258,medium,243.81345327934633,500,375
laysan_albatross_0033_658,laysan_albatross,test,322,281,90482,0.8726708074534162,0.412,0.4505988023952096,45,10,367,291,large,427.36986323324203,500,334
laysan_albatross_0075_668,laysan_albatross,test,101,218,22018,0.463302752293578,0.341,0.4970588235294118,120,60,221,278,medium,240.26027553467927,500,340
laysan_albatross_0076_671,laysan_albatross,train,274,351,96174,0.7806267806267806,0.576,0.5293333333333333,151,23,425,374,large,445.2830560441302,500,375
laysan_albatross_0096_673,laysan_albatross,train,403,280,112840,0.6947890818858561,0.495,0.5626666666666666,46,71,449,351,large,490.7229360851192,500,375
laysan_albatross_0064_674,laysan_albatross,test,222,294,65268,0.7551020408163265,0.458,0.4984984984984985,118,19,340,313,large,368.40195439221003,500,333
laysan_albatross_0039_924,laysan_albatross,train,361,181,65341,0.5013850415512465,0.409,0.4599358974358974,24,53,385,234,large,403.8341243629617,500,312
laysan_albatross_0049_918,laysan_albatross,test,473,243,114939,0.5137420718816068,0.499,0.5279411764705882,13,58,486,301,large,531.7687467311331,500,340
laysan_albatross_0012_696,laysan_albatross,test,306,149,45594,0.4869281045751634,0.556,0.4771986970684039,125,72,431,221,large,340.34835095824985,500,307
laysan_albatross_0056_500,laysan_albatross,train,331,260,86060,0.7854984894259819,0.515,0.5190615835777126,92,47,423,307,large,420.90497739988774,500,341
laysan_albatross_0037_699,laysan_albatross,test,187,271,50677,0.6900369003690037,0.491,0.53003003003003,152,41,339,312,large,329.2567387313432,500,333
laysan_albatross_0006_702,laysan_albatross,train,245,394,96530,0.6218274111675127,0.6171171171171171,0.574,83,90,328,484,large,463.96228294981046,333,500
laysan_albatross_0073_927,laysan_albatross,train,252,182,45864,0.7222222222222222,0.506,0.43843843843843844,127,55,379,237,large,310.85044635644323,500,333
laysan_albatross_0042_801,laysan_albatross,test,283,314,88862,0.9012738853503185,0.515,0.5255255255255256,116,18,399,332,large,422.7114855312072,500,333
laysan_albatross_0004_930,laysan_albatross,test,287,223,64001,0.7770034843205574,0.415,0.548,64,94,351,317,large,363.4528855298854,500,375
laysan_albatross_0093_725,laysan_albatross,test,120,156,18720,0.7692307692307693,0.396,0.49700598802395207,138,88,258,244,medium,196.8146336022807,500,334
laysan_albatross_0068_726,laysan_albatross,train,286,432,123552,0.6620370370370371,0.5585585585585585,0.556,43,62,329,494,large,518.0926558058896,333,500
laysan_albatross_0040_472,laysan_albatross,train,149,193,28757,0.772020725388601,0.445,0.5327455919395466,148,115,297,308,medium,243.82370680473218,500,397
laysan_albatross_0100_735,laysan_albatross,train,171,243,41553,0.7037037037037037,0.443,0.5563798219584569,136,66,307,309,large,297.1363323459452,500,337
laysan_albatross_0021_737,laysan_albatross,test,237,199,47163,0.8396624472573839,0.517,0.5181818181818182,140,100,377,299,large,309.46728421595714,500,385
laysan_albatross_0029_482,laysan_albatross,train,377,172,64844,0.4562334217506631,0.439,0.4144144144144144,31,52,408,224,large,414.38267338294924,500,333
laysan_albatross_0059_488,laysan_albatross,test,331,211,69841,0.6374622356495468,0.383,0.4745508982035928,26,53,357,264,large,392.5328011771755,500,334
laysan_albatross_0018_492,laysan_albatross,train,237,200,47400,0.8438818565400844,0.603,0.5373134328358209,183,80,420,280,large,310.1112703530783,500,335
laysan_albatross_0083_756,laysan_albatross,train,221,198,43758,0.8959276018099548,0.477,0.6246246246246246,128,109,349,307,large,296.7237772744207,500,333
laysan_albatross_0094_1013,laysan_albatross,train,166,268,44488,0.6194029850746269,0.496,0.5498489425981873,165,48,331,316,large,315.2459357390671,500,331
laysan_albatross_0103_504,laysan_albatross,test,182,288,52416,0.6319444444444444,0.472,0.496,145,42,327,330,large,340.687540130249,500,375
laysan_albatross_0079_506,laysan_albatross,test,366,269,98454,0.7349726775956285,0.55,0.5426666666666666,92,69,458,338,large,454.22131169728266,500,375
laysan_albatross_0051_1020,laysan_albatross,train,163,178,29014,0.9157303370786517,0.317,0.48533333333333334,77,93,240,271,medium,241.3565826738521,500,375
sooty_albatross_0038_1065,sooty_albatross,train,222,147,32634,0.6621621621621622,0.614,0.5296875,196,96,418,243,large,266.2573942635209,500,320
sooty_albatross_0031_1066,sooty_albatross,train,396,148,58608,0.37373737373737376,0.6,0.5658263305322129,102,128,498,276,large,422.7528828996912,500,357
sooty_albatross_0001_1071,sooty_albatross,train,168,283,47544,0.5936395759717314,0.5727272727272728,0.549,105,133,273,416,large,329.1094043019737,330,500
sooty_albatross_0016_1075,sooty_albatross,train,180,249,44820,0.7228915662650602,0.518,0.49550898203592814,169,41,349,290,large,307.2474572718219,500,334
sooty_albatross_0043_1076,sooty_albatross,train,316,345,109020,0.9159420289855073,0.424,0.613,1,134,317,479,large,467.8471972770597,375,500
sooty_albatross_0003_1078,sooty_albatross,test,448,252,112896,0.5625,0.52,0.5294117647058824,36,63,484,315,large,514.0116730192029,500,357
sooty_albatross_0077_1080,sooty_albatross,train,327,121,39567,0.37003058103975534,0.511,0.5298507462686567,92,117,419,238,large,348.66889737973474,500,335
sooty_albatross_0063_1101,sooty_albatross,train,176,150,26400,0.8522727272727273,0.286,0.34831460674157305,55,49,231,199,medium,231.24878378058554,500,356
sooty_albatross_0044_1105,sooty_albatross,test,140,115,16100,0.8214285714285714,0.552,0.4954819277108434,206,107,346,222,small,181.1767093199344,500,332
sooty_albatross_0071_1116,sooty_albatross,test,240,313,75120,0.7667731629392971,0.436,0.4604591836734694,98,24,338,337,large,394.42236244918973,500,392
sooty_albatross_0070_796346,sooty_albatross,train,205,281,57605,0.7295373665480427,0.4510416666666667,0.4736111111111111,114,30,319,311,large,347.8304184512907,480,360
sooty_albatross_0030_1122,sooty_albatross,test,397,330,131010,0.8312342569269522,0.547,0.5015015015015015,75,2,472,332,large,516.2450968290159,500,333
sooty_albatross_0054_796347,sooty_albatross,test,130,270,35100,0.48148148148148145,0.302,0.5065963060686016,86,57,216,327,medium,299.66648127543397,500,379
sooty_albatross_0033_1128,sooty_albatross,test,366,157,57462,0.42896174863387976,0.464,0.4623493975903614,49,75,415,232,large,398.25243250983414,500,332
sooty_albatross_0048_1130,sooty_albatross,test,235,173,40655,0.7361702127659574,0.301,0.6141141141141141,33,118,268,291,large,291.8115830463212,500,333
sooty_albatross_0032_1149,sooty_albatross,train,149,134,19966,0.8993288590604027,0.391,0.376,121,74,270,208,medium,200.39211561336438,500,375
sooty_albatross_0034_1154,sooty_albatross,train,123,289,35547,0.42560553633217996,0.48875,0.481,134,96,257,385,medium,314.0859754907882,400,500
sooty_albatross_0055_1160,sooty_albatross,train,288,296,85248,0.972972972972973,0.618,0.5465465465465466,165,34,453,330,large,412.98910397248983,500,333
sooty_albatross_0024_1161,sooty_albatross,test,181,247,44707,0.7327935222672065,0.5385714285714286,0.527,98,140,279,387,large,306.2188759694608,350,500
sooty_albatross_0045_1162,sooty_albatross,train,493,497,245021,0.9919517102615694,0.505,0.499,6,1,499,498,large,700.0414273455536,500,500
sooty_albatross_0073_1171,sooty_albatross,train,160,245,39200,0.6530612244897959,0.4774011299435028,0.581,89,168,249,413,large,292.61749776799064,354,500
sooty_albatross_0074_1221,sooty_albatross,train,312,252,78624,0.8076923076923077,0.33,0.5778443113772455,9,67,321,319,large,401.05859920964167,500,334
sooty_albatross_0021_796339,sooty_albatross,train,250,248,62000,0.992,0.42,0.4859154929577465,1,14,251,262,large,352.14201680572,300,284
sooty_albatross_0005_796342,sooty_albatross,test,415,302,125330,0.727710843373494,0.477116704805492,0.44148936170212766,1,15,416,317,large,513.2533487469907,437,376
sooty_albatross_0064_796343,sooty_albatross,train,233,253,58949,0.9209486166007905,0.615,0.5298507462686567,191,51,424,304,large,343.9447630070852,500,335
sooty_albatross_0042_1210,sooty_albatross,test,212,163,34556,0.7688679245283019,0.212,0.4611801242236025,0,67,212,230,large,267.41914665932205,500,322
sooty_albatross_0046_1211,sooty_albatross,test,377,297,111969,0.7877984084880637,0.621,0.551051051051051,122,35,499,332,large,479.9354123212831,500,333
sooty_albatross_0017_796349,sooty_albatross,train,267,159,42453,0.5955056179775281,0.477,0.5182119205298014,105,77,372,236,large,310.75713990188547,500,302
sooty_albatross_0049_796350,sooty_albatross,test,190,289,54910,0.657439446366782,0.49333333333333335,0.5098870056497176,16,36,206,325,large,345.86268951709724,225,354
sooty_albatross_0050_796351,sooty_albatross,test,466,307,143062,0.6587982832618026,0.49,0.44642857142857145,12,9,478,316,large,558.0367371419197,500,364
sooty_albatross_0075_796352,sooty_albatross,train,455,167,75985,0.367032967032967,0.483,0.5645161290322581,14,39,469,206,large,484.67927539765924,500,217
sooty_albatross_0068_796353,sooty_albatross,train,128,219,28032,0.5844748858447488,0.458,0.493993993993994,165,55,293,274,medium,253.6631624812716,500,333
sooty_albatross_0057_796354,sooty_albatross,train,142,141,20022,0.9929577464788732,0.432,0.5611702127659575,37,35,179,176,large,200.11246837716035,250,188
sooty_albatross_0010_796355,sooty_albatross,test,287,153,43911,0.5331010452961672,0.513,0.503003003003003,113,91,400,244,large,325.2352994371921,500,333
sooty_albatross_0029_796357,sooty_albatross,test,410,338,138580,0.824390243902439,0.44,0.5375,15,46,425,384,large,531.3605179160379,500,400
