image_id,breed,split,width,height,area,normalized_aspect_ratio,center_x,center_y,xmin,ymin,xmax,ymax,size_category,diagonal,image_width,image_height
Black_Footed_Albatross_0046_18,black_footed_albatross,test,325,304,98800,0.9354,0.445,0.5343,60,27,385,331,large,445.02,500,335
Black_Footed_Albatross_0009_34,black_footed_albatross,train,153,264,40392,0.5795,0.431,0.4821,139,30,292,294,large,305.13,500,336
Black_Footed_Albatross_0002_55,black_footed_albatross,test,388,186,72168,0.4794,0.416,0.5908,14,112,402,298,large,430.28,500,347
Black_Footed_Albatross_0074_59,black_footed_albatross,train,255,242,61710,0.949,0.5771,0.422,112,90,367,332,large,351.55,415,500
Black_Footed_Albatross_0014_89,black_footed_albatross,train,134,303,40602,0.4422,0.4139,0.5303,70,50,204,353,large,331.31,331,380
Black_Footed_Albatross_0085_92,black_footed_albatross,test,251,395,99145,0.6354,0.317,0.533,33,53,284,448,large,468.0,500,470
Black_Footed_Albatross_0031_100,black_footed_albatross,train,420,262,110040,0.6238,0.434,0.6059,7,75,427,337,large,495.02,500,340
Black_Footed_Albatross_0051_796103,black_footed_albatross,train,333,158,52614,0.4745,0.489,0.422,78,86,411,244,large,368.58,500,391
Black_Footed_Albatross_0010_796097,black_footed_albatross,train,221,189,41769,0.8552,0.445,0.4099,112,76,333,265,large,290.8,500,416
Black_Footed_Albatross_0025_796057,black_footed_albatross,test,199,201,39999,0.99,0.506,0.5024,27,4,226,205,large,282.85,250,208
Black_Footed_Albatross_0023_796059,black_footed_albatross,val,342,260,88920,0.7602,0.4914,0.52,1,52,343,312,large,429.61,350,350
Black_Footed_Albatross_0086_796062,black_footed_albatross,test,179,249,44571,0.7189,0.325,0.5196,47,21,226,270,large,306.66,420,280
Black_Footed_Albatross_0049_796063,black_footed_albatross,test,197,457,90029,0.4311,0.4381,0.521,36,32,233,489,large,497.65,307,500
Black_Footed_Albatross_0006_796065,black_footed_albatross,test,262,184,48208,0.7023,0.48,0.3771,37,40,299,224,large,320.16,350,350
Black_Footed_Albatross_0040_796066,black_footed_albatross,train,395,237,93615,0.6,0.441,0.5237,23,80,418,317,large,460.65,500,379
Black_Footed_Albatross_0016_796067,black_footed_albatross,test,256,211,54016,0.8242,0.538,0.5392,141,87,397,298,large,331.75,500,357
Black_Footed_Albatross_0065_796068,black_footed_albatross,test,254,209,53086,0.8228,0.4771,0.4071,40,38,294,247,large,328.93,350,350
Black_Footed_Albatross_0089_796069,black_footed_albatross,train,254,249,63246,0.9803,0.344,0.5464,45,58,299,307,large,355.69,500,334
Black_Footed_Albatross_0042_796071,black_footed_albatross,test,304,181,55024,0.5954,0.574,0.4874,135,83,439,264,large,353.8,500,356
Black_Footed_Albatross_0067_170,black_footed_albatross,train,255,122,31110,0.4784,0.452,0.512,23,195,278,317,medium,282.68,333,500
Black_Footed_Albatross_0060_796076,black_footed_albatross,val,281,139,39059,0.4947,0.4734,0.6104,11,77,292,216,large,313.5,320,240
Black_Footed_Albatross_0090_796077,black_footed_albatross,test,210,130,27300,0.619,0.5093,0.5074,5,4,215,134,large,246.98,216,136
Black_Footed_Albatross_0056_796078,black_footed_albatross,train,188,165,31020,0.8777,0.496,0.45,154,93,342,258,medium,250.14,500,390
