image_id,breed,species,split,total_pixels,fg_pixels,boundary_pixels,bg_pixels,fg_percentage,boundary_percentage,bg_percentage,mask_coverage,mask_height,mask_width
acadian_flycatcher_0003_29094,acadian_flycatcher,bird,train,200000,15093,5035,179872,7.5465,2.5175,89.936,0.10064,400,500
acadian_flycatcher_0004_795623,acadian_flycatcher,bird,train,62208,10219,3074,48915,16.427147633744855,4.941486625514403,78.63136574074075,0.2136863425925926,216,288
acadian_flycatcher_0005_29157,acadian_flycatcher,bird,test,195500,13698,4102,177700,7.0066496163682865,2.0982097186700766,90.89514066496163,0.09104859335038364,500,391
acadian_flycatcher_0006_795595,acadian_flycatcher,bird,val,250000,41277,18444,190279,16.5108,7.3776,76.1116,0.238884,500,500
acadian_flycatcher_0007_795600,acadian_flycatcher,bird,val,185500,14989,6494,164017,8.08032345013477,3.5008086253369273,88.4188679245283,0.11581132075471698,371,500
acadian_flycatcher_0008_795599,acadian_flycatcher,bird,train,184000,22957,6859,154184,12.476630434782608,3.7277173913043478,83.79565217391304,0.16204347826086957,500,368
acadian_flycatcher_0009_29155,acadian_flycatcher,bird,train,187500,5692,2436,179372,3.0357333333333334,1.2992,95.66506666666666,0.04334933333333333,375,500
acadian_flycatcher_0010_29199,acadian_flycatcher,bird,train,187500,14810,2669,170021,7.898666666666666,1.4234666666666667,90.67786666666667,0.09322133333333334,375,500
acadian_flycatcher_0012_795612,acadian_flycatcher,bird,test,193000,34091,7108,151801,17.663730569948186,3.682901554404145,78.65336787564767,0.21346632124352333,500,386
acadian_flycatcher_0013_29232,acadian_flycatcher,bird,test,166500,20739,5944,139817,12.455855855855855,3.56996996996997,83.97417417417418,0.16025825825825826,333,500
acadian_flycatcher_0014_795607,acadian_flycatcher,bird,train,197500,17654,11797,168049,8.93873417721519,5.9731645569620255,85.08810126582279,0.14911898734177215,500,395
acadian_flycatcher_0015_795578,acadian_flycatcher,bird,test,40020,7797,10214,22009,19.482758620689655,25.52223888055972,54.99500249875062,0.4500499750124938,174,230
acadian_flycatcher_0016_29217,acadian_flycatcher,bird,train,191000,8885,3000,179115,4.651832460732984,1.5706806282722514,93.77748691099477,0.062225130890052355,500,382
acadian_flycatcher_0017_795598,acadian_flycatcher,bird,train,148400,22208,5359,120833,14.964959568733153,3.611185983827493,81.42385444743935,0.18576145552560647,400,371
acadian_flycatcher_0019_795592,acadian_flycatcher,bird,train,173000,13052,6395,153553,7.544508670520231,3.6965317919075145,88.75895953757225,0.11241040462427745,346,500
acadian_flycatcher_0020_29069,acadian_flycatcher,bird,train,200500,8952,3324,188224,4.464837905236908,1.6578553615960099,93.87730673316709,0.061226932668329175,401,500
acadian_flycatcher_0021_795594,acadian_flycatcher,bird,test,185000,8528,3190,173282,4.60972972972973,1.7243243243243243,93.66594594594595,0.06334054054054054,370,500
acadian_flycatcher_0022_29145,acadian_flycatcher,bird,test,188000,33227,12137,142636,17.673936170212766,6.455851063829787,75.87021276595745,0.24129787234042555,376,500
acadian_flycatcher_0024_29173,acadian_flycatcher,bird,test,207500,12155,14383,180962,5.857831325301205,6.9315662650602405,87.21060240963855,0.12789397590361445,415,500
acadian_flycatcher_0028_795611,acadian_flycatcher,bird,train,175000,19074,5348,150578,10.89942857142857,3.056,86.04457142857143,0.13955428571428571,350,500
acadian_flycatcher_0030_795591,acadian_flycatcher,bird,test,120000,14133,6568,99299,11.7775,5.473333333333334,82.74916666666667,0.17250833333333335,300,400
acadian_flycatcher_0031_795582,acadian_flycatcher,bird,test,210000,14914,19630,175456,7.101904761904762,9.347619047619048,83.55047619047619,0.16449523809523808,420,500
acadian_flycatcher_0032_795622,acadian_flycatcher,bird,train,187500,32708,17487,137305,17.444266666666667,9.3264,73.22933333333333,0.26770666666666665,375,500
acadian_flycatcher_0033_29195,acadian_flycatcher,bird,train,166500,5311,9311,151878,3.1897897897897898,5.592192192192192,91.21801801801801,0.08781981981981982,333,500
acadian_flycatcher_0034_795583,acadian_flycatcher,bird,test,114000,12320,3230,98450,10.807017543859649,2.8333333333333335,86.35964912280701,0.13640350877192983,285,400
acadian_flycatcher_0035_795618,acadian_flycatcher,bird,train,180000,7824,2944,169232,4.346666666666667,1.6355555555555557,94.01777777777778,0.05982222222222222,360,500
acadian_flycatcher_0036_795577,acadian_flycatcher,bird,test,166500,15983,4075,146442,9.599399399399399,2.4474474474474475,87.95315315315315,0.12046846846846847,333,500
acadian_flycatcher_0038_795616,acadian_flycatcher,bird,test,143600,12587,3263,127750,8.765320334261839,2.272284122562674,88.96239554317549,0.11037604456824512,400,359
acadian_flycatcher_0039_795606,acadian_flycatcher,bird,train,187500,24596,6718,156186,13.117866666666666,3.5829333333333335,83.2992,0.167008,375,500
acadian_flycatcher_0040_795629,acadian_flycatcher,bird,val,114800,7657,2537,104606,6.669860627177701,2.2099303135888504,91.12020905923345,0.0887979094076655,287,400
acadian_flycatcher_0041_795605,acadian_flycatcher,bird,test,199500,27949,6547,165004,14.00952380952381,3.281704260651629,82.70877192982456,0.17291228070175438,500,399
acadian_flycatcher_0042_29127,acadian_flycatcher,bird,test,238500,59506,11113,167881,24.950104821802935,4.659538784067086,70.39035639412998,0.29609643605870023,477,500
acadian_flycatcher_0043_29115,acadian_flycatcher,bird,test,181000,12066,19654,149280,6.666298342541436,10.858563535911602,82.47513812154696,0.17524861878453038,362,500
acadian_flycatcher_0044_795624,acadian_flycatcher,bird,test,200000,24220,5414,170366,12.11,2.707,85.183,0.14817,500,400
acadian_flycatcher_0045_795587,acadian_flycatcher,bird,val,68160,5551,2412,60197,8.144072769953052,3.538732394366197,88.31719483568075,0.11682805164319249,213,320
acadian_flycatcher_0046_795596,acadian_flycatcher,bird,test,71500,8911,2847,59742,12.462937062937064,3.981818181818182,83.55524475524476,0.16444755244755244,260,275
acadian_flycatcher_0047_795593,acadian_flycatcher,bird,train,176000,36216,16238,123546,20.577272727272728,9.226136363636364,70.19659090909092,0.2980340909090909,500,352
acadian_flycatcher_0049_795580,acadian_flycatcher,bird,test,178500,12261,15272,150967,6.86890756302521,8.555742296918767,84.57535014005602,0.15424649859943979,357,500
acadian_flycatcher_0050_795608,acadian_flycatcher,bird,test,247000,56504,16229,174267,22.876113360323888,6.5704453441295545,70.55344129554656,0.2944655870445344,500,494
acadian_flycatcher_0051_29077,acadian_flycatcher,bird,test,194000,49609,13853,130538,25.57164948453608,7.1407216494845365,67.28762886597939,0.3271237113402062,500,388
acadian_flycatcher_0052_795610,acadian_flycatcher,bird,test,158600,10167,5424,143009,6.4104665825977305,3.419924337957125,90.16960907944514,0.09830390920554855,488,325
acadian_flycatcher_0053_795620,acadian_flycatcher,bird,train,175000,24857,6159,143984,14.204,3.5194285714285716,82.27657142857143,0.1772342857142857,500,350
acadian_flycatcher_0054_29113,acadian_flycatcher,bird,val,212000,26648,21084,164268,12.569811320754717,9.945283018867924,77.48490566037736,0.2251509433962264,424,500
