image_id,breed,species,split,center_x,center_y,xmin,ymin,xmax,ymax,normalized_area
black_footed_albatross_0046_18,black_footed_albatross,bird,test,0.445,0.534328,60,27,385,331,0.5898507462686567
black_footed_albatross_0009_34,black_footed_albatross,bird,train,0.431,0.482143,139,30,292,294,0.24042857142857144
black_footed_albatross_0002_55,black_footed_albatross,bird,test,0.416,0.590778,14,112,402,298,0.41595389048991355
black_footed_albatross_0074_59,black_footed_albatross,bird,train,0.577108,0.422,112,90,367,332,0.2973975903614458
black_footed_albatross_0014_89,black_footed_albatross,bird,train,0.413897,0.530263,70,50,204,353,0.3228017172841469
black_footed_albatross_0085_92,black_footed_albatross,bird,test,0.317,0.532979,33,53,284,448,0.4218936170212766
black_footed_albatross_0031_100,black_footed_albatross,bird,train,0.434,0.605882,7,75,427,337,0.6472941176470588
black_footed_albatross_0051_796103,black_footed_albatross,bird,train,0.489,0.421995,78,86,411,244,0.2691253196930946
black_footed_albatross_0010_796097,black_footed_albatross,bird,train,0.445,0.409856,112,76,333,265,0.2008125
black_footed_albatross_0025_796057,black_footed_albatross,bird,test,0.506,0.502404,27,4,226,205,0.7692115384615384
black_footed_albatross_0023_796059,black_footed_albatross,bird,train,0.491429,0.52,1,52,343,312,0.7258775510204082
black_footed_albatross_0086_796062,black_footed_albatross,bird,test,0.325,0.519643,47,21,226,270,0.37900510204081633
black_footed_albatross_0049_796063,black_footed_albatross,bird,test,0.438111,0.521,36,32,233,489,0.5865081433224756
black_footed_albatross_0006_796065,black_footed_albatross,bird,test,0.48,0.377143,37,40,299,224,0.393534693877551
black_footed_albatross_0040_796066,black_footed_albatross,bird,train,0.441,0.523747,23,80,418,317,0.4940105540897098
black_footed_albatross_0016_796067,black_footed_albatross,bird,test,0.538,0.539216,141,87,397,298,0.30261064425770307
black_footed_albatross_0065_796068,black_footed_albatross,bird,test,0.477143,0.407143,40,38,294,247,0.43335510204081634
black_footed_albatross_0089_796069,black_footed_albatross,bird,train,0.344,0.546407,45,58,299,307,0.3787185628742515
black_footed_albatross_0042_796071,black_footed_albatross,bird,test,0.574,0.48736,135,83,439,264,0.30912359550561797
black_footed_albatross_0067_170,black_footed_albatross,bird,train,0.451952,0.512,23,195,278,317,0.18684684684684685
black_footed_albatross_0060_796076,black_footed_albatross,bird,train,0.473438,0.610417,11,77,292,216,0.5085807291666666
