image_name,breed,tsne_x,tsne_y
Black_Footed_Albatross_0046_18,black_footed_albatross,-73.864296,-44.898678
Black_Footed_Albatross_0009_34,black_footed_albatross,-68.63596,-45.56315
Black_Footed_Albatross_0002_55,black_footed_albatross,-73.062645,-42.33267
Black_Footed_Albatross_0074_59,black_footed_albatross,-69.858315,-45.939976
Black_Footed_Albatross_0014_89,black_footed_albatross,-66.07212,-47.613827
Black_Footed_Albatross_0085_92,black_footed_albatross,-70.58834,-46.06614
Black_Footed_Albatross_0031_100,black_footed_albatross,-71.353355,-32.193787
Black_Footed_Albatross_0051_796103,black_footed_albatross,-72.55811,-41.378304
Black_Footed_Albatross_0010_796097,black_footed_albatross,-69.65918,-41.781807
Black_Footed_Albatross_0025_796057,black_footed_albatross,-74.40918,-45.375286
Black_Footed_Albatross_0023_796059,black_footed_albatross,-69.20811,-41.216976
Black_Footed_Albatross_0086_796062,black_footed_albatross,-69.62327,-46.44986
Black_Footed_Albatross_0049_796063,black_footed_albatross,-69.953316,-33.561184
Black_Footed_Albatross_0006_796065,black_footed_albatross,-70.76978,-42.953434
Black_Footed_Albatross_0040_796066,black_footed_albatross,-72.29417,-43.99053
Black_Footed_Albatross_0016_796067,black_footed_albatross,-70.2615,-45.132355
Black_Footed_Albatross_0065_796068,black_footed_albatross,-68.31182,-43.175915
Black_Footed_Albatross_0089_796069,black_footed_albatross,-72.59711,-43.937065
Black_Footed_Albatross_0042_796071,black_footed_albatross,-73.753265,-39.537006
Black_Footed_Albatross_0067_170,black_footed_albatross,-66.38906,-43.23846
Black_Footed_Albatross_0060_796076,black_footed_albatross,-79.59291,5.825049
Black_Footed_Albatross_0090_796077,black_footed_albatross,-74.362114,-38.60613
Black_Footed_Albatross_0056_796078,black_footed_albatross,-70.15523,3.2845685
Black_Footed_Albatross_0061_796082,black_footed_albatross,-74.11852,-39.008053
Black_Footed_Albatross_0008_796083,black_footed_albatross,-65.456856,-47.28618
Black_Footed_Albatross_0033_796086,black_footed_albatross,-74.15856,-37.01561
Black_Footed_Albatross_0024_796089,black_footed_albatross,-65.45096,-47.0766
Black_Footed_Albatross_0005_796090,black_footed_albatross,-67.24541,-43.349552
Black_Footed_Albatross_0026_796095,black_footed_albatross,-68.025734,-41.657703
Black_Footed_Albatross_0080_796096,black_footed_albatross,-67.98402,-41.53594
Black_Footed_Albatross_0047_796064,black_footed_albatross,-69.99835,-47.292797
Black_Footed_Albatross_0017_796098,black_footed_albatross,-65.53471,-39.344494
Black_Footed_Albatross_0064_796101,black_footed_albatross,-68.2011,-46.060497
Black_Footed_Albatross_0076_417,black_footed_albatross,-72.55288,-41.96154
Black_Footed_Albatross_0019_796104,black_footed_albatross,-68.56616,-46.56836
Black_Footed_Albatross_0057_796106,black_footed_albatross,-73.16158,-42.321606
Black_Footed_Albatross_0041_796108,black_footed_albatross,-70.81106,-40.092125
Black_Footed_Albatross_0053_796109,black_footed_albatross,-73.53796,-38.23534
Black_Footed_Albatross_0001_796111,black_footed_albatross,-71.77147,-43.914024
Black_Footed_Albatross_0071_796113,black_footed_albatross,-71.12725,-42.913006
Black_Footed_Albatross_0077_796114,black_footed_albatross,-71.51232,-41.90616
Black_Footed_Albatross_0032_796115,black_footed_albatross,-70.69261,-44.914993
Black_Footed_Albatross_0038_212,black_footed_albatross,-72.83957,-42.821087
Black_Footed_Albatross_0037_796120,black_footed_albatross,-71.22497,-44.327553
Black_Footed_Albatross_0082_796121,black_footed_albatross,-70.42983,-45.17369
Black_Footed_Albatross_0079_796122,black_footed_albatross,-74.01003,-38.010292
Black_Footed_Albatross_0050_796125,black_footed_albatross,-69.71201,-41.2572
Black_Footed_Albatross_0078_796126,black_footed_albatross,-67.96865,-44.72551
Black_Footed_Albatross_0036_796127,black_footed_albatross,-68.8594,-42.158928
Black_Footed_Albatross_0045_796129,black_footed_albatross,-66.53649,-48.48997
Black_Footed_Albatross_0039_796132,black_footed_albatross,-72.26213,-42.810635
Black_Footed_Albatross_0088_796133,black_footed_albatross,-64.752625,-48.032925
Black_Footed_Albatross_0068_796135,black_footed_albatross,-68.58587,-43.12941
Black_Footed_Albatross_0003_796136,black_footed_albatross,-70.51646,-44.074257
Black_Footed_Albatross_0007_796138,black_footed_albatross,-70.49138,4.6528606
Black_Footed_Albatross_0069_796139,black_footed_albatross,-74.07454,-38.35918
Black_Footed_Albatross_0035_796140,black_footed_albatross,-69.457535,-41.693672
Black_Footed_Albatross_0063_796141,black_footed_albatross,-73.71615,-38.43473
Black_Footed_Albatross_0058_796074,black_footed_albatross,-72.89339,-44.271812
Black_Footed_Albatross_0081_426,black_footed_albatross,-72.50647,-42.34844
Laysan_Albatross_0002_1027,laysan_albatross,-69.8594,-42.90354
Laysan_Albatross_0003_1033,laysan_albatross,-75.598175,-44.51646
Laysan_Albatross_0082_524,laysan_albatross,-74.615974,-44.135704
Laysan_Albatross_0044_784,laysan_albatross,-70.291,-41.432434
Laysan_Albatross_0070_788,laysan_albatross,-75.664856,-43.68327
Laysan_Albatross_0050_870,laysan_albatross,-65.07524,-45.898632
Laysan_Albatross_0071_792,laysan_albatross,-71.06044,-42.846104
Laysan_Albatross_0053_543,laysan_albatross,-64.725555,-47.320526
Laysan_Albatross_0081_800,laysan_albatross,-57.53441,-49.092693
Laysan_Albatross_0001_545,laysan_albatross,-58.355675,-46.155888
Laysan_Albatross_0023_1059,laysan_albatross,-77.3954,-45.143208
Laysan_Albatross_0065_809,laysan_albatross,-75.31652,-43.612057
Laysan_Albatross_0061_563,laysan_albatross,-71.02706,-42.40564
Laysan_Albatross_0085_564,laysan_albatross,-67.549095,-47.065445
Laysan_Albatross_0005_565,laysan_albatross,-74.65128,-43.303276
Laysan_Albatross_0060_777,laysan_albatross,-75.297035,-43.684765
Laysan_Albatross_0055_570,laysan_albatross,-67.553925,-34.370037
Laysan_Albatross_0025_571,laysan_albatross,-75.29776,-43.645008
Laysan_Albatross_0080_821,laysan_albatross,-71.75892,-44.118195
Laysan_Albatross_0092_834,laysan_albatross,-74.56036,-44.18586
Laysan_Albatross_0013_910,laysan_albatross,-77.39499,-41.28234
Laysan_Albatross_0091_602,laysan_albatross,-71.63591,-45.088627
Laysan_Albatross_0102_611,laysan_albatross,-64.31023,-46.66875
Laysan_Albatross_0099_869,laysan_albatross,-64.71853,-46.339886
Laysan_Albatross_0017_614,laysan_albatross,-76.56885,-42.253613
Laysan_Albatross_0047_619,laysan_albatross,-66.392395,-45.862583
Laysan_Albatross_0035_876,laysan_albatross,-62.64885,-36.357887
Laysan_Albatross_0098_621,laysan_albatross,-40.82315,-6.822454
Laysan_Albatross_0088_883,laysan_albatross,-75.15296,-43.98345
Laysan_Albatross_0034_628,laysan_albatross,-75.214096,-43.003654
Laysan_Albatross_0104_630,laysan_albatross,-70.93463,-37.80391
